Tweets,Sentiment (All)
and allah never fails his promise quran mydin mutiara rini skudai,POSITIVE
ton long march b rocket,NEUTRAL
our recommended item michizakura aiyama,NEUTRAL
fortnite top rankings malaysia,POSITIVE
malaysias rich music culture part lagenda p ramlee,POSITIVE
good morning lumpur am,POSITIVE
food kedah delicious,POSITIVE
eruption top rankings malaysia,POSITIVE
rasa cuisine,NEUTRAL
its th august malaysia its pokemon happy meal day,POSITIVE
hurricane top rankings malaysia,POSITIVE
good night semuakorang nak place order dmtekan link ni ye,POSITIVE
jalan alorhungry ghost festival,NEUTRAL
kelana mahkota condo review,NEUTRAL
gurkhali machas bars rap titled suara rakyat,NEUTRAL
apex legends top rankings malaysia,POSITIVE
thank mummy warm shoutout teruja mummy sporting macam ni kalau kawan korang try time,POSITIVE
something government consider kids going schools rural area like sabahnak buat titi gantung murah boleh tapi kena teratur selamatramai jurutera bijak bantu buat ni,NEUTRAL
salam tambak johorhave active blessed day everyone,POSITIVE
the big talk x waka guys seram sikit la kali,NEUTRAL
gadis bunga lavender garden cameron highlands,NEUTRAL
bunga putih tak tahu bunga ni fujifilm xt fujinon xc mm lightroom mobile,NEUTRAL
economy mi rice penang best food video,POSITIVE
mak nak tambah pleasedoniakocheng,NEUTRAL
buku matriks matrikulasi kms kmp kmns rm exc pos,NEUTRAL
haritu lah pergi platform ni kejap,NEUTRAL
ffxiv top rankings malaysia,POSITIVE
muhyiddin calls rci combat ship scandal,NEGATIVE
movie top rankings malaysia,POSITIVE
okay guna,POSITIVE
congratulations ikut bangga,POSITIVE
prime minister top rankings malaysia,POSITIVE
now cheering womens double again siap mkn tb kwn aok haha,POSITIVE
jom tengok kes otosan gaming restream again may blessed almighty biar tak padu asalkan,POSITIVE
jom tengok kes otosan gaming may blessed almighty biar tak padu asalkan,POSITIVE
boring lah customermalaysia,NEGATIVE
omg divers bad,NEGATIVE
congrats muhammad syafiq bin puteh,POSITIVE
s queen azizah raja permaisuri agong royal family celebration nd birthday held royal family palace istana bukit serene royal johor,NEUTRAL
hero standing,POSITIVE
pas president hadi awang wrong work muhyiddin yassinled bersatu instead umno says former leader islamic party,NEGATIVE
mount bromo views morning gunung bromo jawa,NEUTRAL
into jungle taman negara rainforest,NEUTRAL
win gold medal win,POSITIVE
thank mr khalid albarqi choosing tour around langkawi islandi hope enjoyn come insyaallah,POSITIVE
ku sayang management pools state,NEUTRAL
hamid tied knot new wife dsp fazreena karim attached police museum muzium pdrm,NEUTRAL
merdeka collection scarf nur jannat,NEUTRAL
boring lah,NEGATIVE
konsert over,NEUTRAL
