Tweets,Sentiment (All)
saloma link bridge,NEUTRAL
malaysias petronas posts q profit bln rgt vs bln rgt q,NEUTRAL
now till aug le creuset merdeka sale mitsui outlet park,NEUTRAL
soon independence day come early drawing itselamat kemerdekaan,POSITIVE
inflasi harian metro,NEUTRAL
hi abg skrg ready vcs bogel pm je,NEGATIVE
a trip memory lane first visit komtar johor bahru city centre jbcc johor bahru,NEUTRAL
a trip memory lane zoo johor bahru johor,NEUTRAL
a trip memory lane closest sandy beach johor bahru desaru beach penawar kota tinggi johor,NEUTRAL
can hear drums fernando former owl forestieri team jdt last night beat terengganu win malaysian fa cup,POSITIVE
pink venom,NEUTRAL
dusun pak din port dickson eat via,NEUTRAL
hi anyone cari kerja bole join telegram channel,NEUTRAL
repeat nasi kandar lg lumpur,NEUTRAL
uw company gamesporting events online casino slots games nombor dfishlink daftar id,NEGATIVE
jom tengok kes otosan gaming clutching win takeoff map biar tak padu asalkan,POSITIVE
on srvc vcs nk chat ye,NEGATIVE
final piala fa goalllterengganu jdtarif aiman bergson da silve penalti tchetche kipre bergson da silve,NEUTRAL
final piala fa goalllterengganu jdtarif aiman bergson da silve penalti tchetche kipre,NEUTRAL
pls tolong wife sy geng twitter,NEGATIVE
fa cup final bukit jalil lrt till,NEUTRAL
honda wave rs,NEUTRAL
malaysia bnm hikes rates uob,NEUTRAL
mma moots end malaysias covid mask mandate aug,NEUTRAL
dah kena prank dh ni gaiss group fb,NEUTRAL
malaysia scraps indoor face mask rule,NEUTRAL
toyota fortuner dvr baharu android auto apple carplay tanya wayar rmk,NEUTRAL
dh sngp vcs bogel abg pm,NEGATIVE
a trip memory lane visit ww laksa house a a kolam taman water works johor bahru johor,NEUTRAL
vcs real pm,NEGATIVE
coming back hotel petaling jaya,NEUTRAL
letting love grow lumpur petronas twin towers,POSITIVE
ruddy breasted crake teluk rimba johor,NEUTRAL
people lumpur,NEUTRAL
pulau shj guys,NEUTRAL
chicken rice place crp barulah hainan asli via,NEUTRAL
kawasaki ninja z get traction control,NEUTRAL
klia cargo view,NEUTRAL
thangkas lama tsongkhapas life story,NEUTRAL
fat leonard lari mana,NEGATIVE
best things lumpur gtgt,POSITIVE
bila first time bagi haa ambikk ko twitter,NEUTRAL
do want king pardon najib,NEUTRAL
fluffy little bird ashy drongo dicrurus leucophaeus kinabalu national park sabah photo husini bakar,NEUTRAL
peace harmony malaysia lexis hibiscus port dickson,NEUTRAL
paypal forex brokers forexop,NEUTRAL
heloo mak cik pak cik,NEUTRAL
lyrics top rankings malaysia,POSITIVE
live streamingkorea republik vs,NEUTRAL
taufix skilo streetwear berminat design bertemakan follow kami,NEUTRAL
on vc bogel pm,NEGATIVE
sunset sekinchan,NEUTRAL
open order isnin call suzzyq,NEUTRAL
fangirl moment,NEUTRAL
anantara coast resort,NEUTRAL
